name	aliases
Christianity	Christianity,Christians
Islam	Islam,Islamists,Muslims
Hinduism	Hinduism,Hindus
Buddhism	Buddhism,Buddha Dharma,Buddhists
Shinto	Shinto,Shintoism,Shintoists
Taoism	Taoism,Daoism,Taoists
Vodou	Vodou,Vodon,Vodoun,Vudu,Voudou,Voodoo
Sikhism	Sikhism,Sikhi,Sikh Dharma,Sikhs
Jews	Judaism,Jewish people,Jews
Caodaism	Caodaism,Caodaists,Cao Đài,Cao Dai
Catholicism	Catholicism,Catholics
Protestantism	Protestantism,Protestants
Sunni Islam	Sunni Islam,Sunnis,Sunni Muslims,Sunnites,Ahlus Sunnah
Shia Islam	Shia Islam,Shia Muslims,Shia
